Pulse,Voltage,MAP,RAP,CO_mlmin,SVR,CO_Lmin
60,5.0,20.6511847659116,10.986572906145,2421.02192223376,319.356442699191,2.42102192223376
80,5.0,24.7386134874414,12.4546338098259,3295.94334833276,298.159971319394,3.29594334833276
100,5.0,30.5197424859879,12.7100930677986,4130.58255451713,344.93244830491,4.13058255451713
120,5.0,37.5733436533397,12.5817477203524,5171.9012345679,386.574991277076,5.1719012345679
140,5.0,46.5019620446124,11.5994955944277,6084.27906618976,458.919994569441,6.08427906618976
160,5.0,61.426777983119,10.3605529345536,7185.15826314372,568.574532984301,7.1851582631437205
40,4.5,14.9251168376162,10.0781366760395,1801.28064549498,215.268183720243,1.8012806454949801
60,4.5,18.2152646494763,9.0452061750812,2422.13427123203,302.875314000845,2.4221342712320304
80,4.5,23.8659522172585,9.38855967530467,3339.25206027378,346.841562856249,3.33925206027378
100,4.5,31.105209136803,10.0434464993587,4204.63608151443,400.734089307597,4.20463608151443
120,4.5,40.5004938225445,10.2503039690649,5192.56494603634,466.053908507327,5.19256494603634
140,4.5,50.8394203016214,10.3011495428567,6110.76821488914,530.712595643756,6.11076821488914
160,4.5,64.0815337467645,9.66600825008239,7133.69559670356,610.236585052239,7.13369559670356
40,4.0,18.2146577072106,9.83737176110196,1740.82514396055,384.980006759297,1.74082514396055
60,4.0,20.9271962411632,9.12922863661403,2422.33105754974,389.640138337926,2.42233105754974
80,4.0,26.100406716517,9.98691317719845,3315.5369814834,388.799609337713,3.3155369814833997
100,4.0,32.8741328993775,10.5528620768203,4204.57777318024,424.704158689854,4.20457777318024
120,4.0,42.4746843184103,10.9753330556431,5206.55091203752,483.995670760708,5.20655091203752
140,4.0,52.8924264987914,11.0795915121756,6099.3686424606,548.421811340102,6.0993686424606
160,4.0,66.1028472090272,10.578681559241,7071.68932105789,628.129015616654,7.07168932105789
40,3.5,18.7104635235996,10.9931790701557,1742.34160224607,354.340822419464,1.7423416022460698
60,3.5,21.8633758259524,10.6156988962388,2389.52817199339,376.565618653681,2.38952817199339
80,3.5,27.097553119326,11.5078128296689,3260.17945463636,382.549255501543,3.26017945463636
100,3.5,34.7697805746301,12.1524096017151,4203.61089958079,430.437003104555,4.20361089958079
120,3.5,44.6642346544091,12.6387715414201,5185.82646821276,494.046043527193,5.18582646821276
140,3.5,55.4876247613136,12.6412032259593,6107.37829314257,561.241429350629,6.10737829314257
160,3.5,71.3530811763468,12.038570793418,7174.16507057421,661.4234247407,7.174165070574211
40,3.0,20.4080307185772,12.5135779147539,1777.30147236302,355.345580998238,1.7773014723630198
60,3.0,23.4016549195487,12.110111355266,2403.05644632944,375.906061849858,2.40305644632944
80,3.0,29.2533419050735,13.1483959439592,3313.8687631461,388.788986219834,3.3138687631461
100,3.0,37.0074490432352,13.7631763553046,4208.81628219717,441.820618994491,4.20881628219717
120,3.0,47.6458786465348,14.1657454651143,5207.45473375951,514.341610528022,5.20745473375951
140,3.0,62.2875081588959,14.2157039694588,6079.52440984251,632.57322051851,6.07952440984251
160,3.0,74.749986127746,13.6219214081581,7148.7069747509,684.074084283952,7.1487069747509
40,2.5,21.2468189652506,13.8734774008371,1708.64329845363,345.225551574707,1.70864329845363
60,2.5,24.7332681729342,13.7989310470055,2406.51612442413,363.491007268283,2.40651612442413
80,2.5,31.2990822379953,14.7738466904601,3299.92307417592,400.621109670249,3.2999230741759202
100,2.5,39.4451628418794,15.3156880150372,4136.43291311025,466.672136765276,4.136432913110251
120,2.5,52.6498893884724,15.697708143174,5145.05692653834,574.565945884066,5.14505692653834
140,2.5,66.6995212753985,15.6518407042342,6073.68843969858,672.377993411827,6.0736884396985795
160,2.5,84.470813927175,15.0220215796121,7056.08721117103,787.391541732798,7.05608721117103
40,2.0,23.2157325143137,15.4590616560443,1629.63322738474,380.781183295701,1.62963322738474
60,2.0,28.2219046114287,15.3702906387079,2406.12120995679,427.297308865053,2.4061212099567904
80,2.0,36.0591020846792,16.2703991450945,3270.32813113817,484.07871372094,3.2703281311381702
100,2.0,47.2344180605185,16.6438824179152,4134.32780972108,591.932464971462,4.134327809721079
120,2.0,61.5142015945138,16.6853249130704,5064.61279211881,708.111415762372,5.06461279211881
140,2.0,79.3962930535405,16.6828306635695,6017.11340320729,833.801302219671,6.01711340320729
160,2.0,98.4436413261744,16.0869293880723,6928.71789933706,950.90275730212,6.92871789933706
40,1.5,27.9632580538313,16.7454796346321,1604.26261990297,559.398606189689,1.6042626199029701
60,1.5,38.2526257950077,16.3485355965541,2355.76389763342,743.846706215618,2.35576389763342
80,1.5,63.3410443025236,16.9400432702559,3200.29195214992,1159.91920052409,3.20029195214992
100,1.5,89.2964310314995,16.9068141491177,3980.89530017407,1454.74043246938,3.9808953001740703
120,1.5,121.056543368521,17.1616682105467,4789.6178289693,1735.3346988076,4.7896178289693
40,1.0,26.4041607260105,12.856305417346,1519.66641976223,713.201535941513,1.5196664197622298
60,1.0,51.2038081183256,11.7638773778263,2290.56432444906,1377.47472339545,2.2905643244490603
80,1.0,78.7295193965497,10.771512572689,3072.23587554325,1769.60388659856,3.07223587554325
100,1.0,114.86293320011,9.87545389468078,3769.87092804123,2227.92729638581,3.76987092804123
120,1.0,162.609417916434,9.34555202947589,4572.99003884466,2681.20183223805,4.572990038844661
